wine_name,vintage,popularity,score,avg_price
"Bouchard Pere & Fils Chevalier-Montrachet Grand Cru, Cote de Beaune, France","
                            2012                    ","
                            1,119","
                            19/20                    ",261
"Delas Freres Hermitage Les Bessards, Rhone, France","
                            2009                    ","
                            803","
                            19/20                    ",226
"Joseph Drouhin Musigny Grand Cru, Cote de Nuits, France","
                            2008                    ","
                            815","
                            19/20                    ",617
"William Fevre Les Clos, Chablis Grand Cru, France","
                            2010                    ","
                            825","
                            19/20                    ",104
"William Fevre Les Clos, Chablis Grand Cru, France","
                            2009                    ","
                            825","
                            19/20                    ",68
"William Fevre Les Clos, Chablis Grand Cru, France","
                            2005                    ","
                            825","
                            19/20                    ",104
"Jacques Selosse Blanc de Blancs Grand Cru Millesime, Champagne, France","
                            1998                    ","
                            846","
                            19/20                    ",868
"Chateau Trotte Vieille, Saint-Emilion Grand Cru, France","
                            2015                    ","
                            875","
                            19/20                    ",84
"Egly-Ouriet Grand Cru Brut, Champagne, France","
                            2005                    ","
                            888","
                            19/20                    ",108
"Egly-Ouriet Grand Cru Brut, Champagne, France","
                            2003                    ","
                            888","
                            19/20                    ",139
"Egly-Ouriet Grand Cru Brut, Champagne, France","
                            1999                    ","
                            888","
                            19/20                    ",111
"Egly-Ouriet Grand Cru Brut, Champagne, France","
                            1996                    ","
                            888","
                            19/20                    ",                    
"Chateau Lafaurie-Peyraguey, Sauternes, France","
                            2015                    ","
                            901","
                            19/20                    ",50
"Domaine des Comtes Lafon Montrachet Grand Cru, Cote de Beaune, France","
                            2014                    ","
                            539","
                            19/20                    ","1,688"
"Domaine des Comtes Lafon Montrachet Grand Cru, Cote de Beaune, France","
                            2012                    ","
                            539","
                            19/20                    ","1,432"
"Bouchard Pere & Fils Montrachet Grand Cru, Cote de Beaune, France","
                            2008                    ","
                            704","
                            19/20                    ",614
"Domaine Jean-Louis Chave Ermitage 'Cuvee Cathelin', Rhone, France","
                            2003                    ","
                            727","
                            19/20                    ","5,196"
"Chateau La Mission Haut-Brion Blanc, Pessac-Leognan, France","
                            2009                    ","
                            739","
                            19/20                    ",716
"Domaine Leflaive Bienvenues-Batard-Montrachet Grand Cru, Cote de Beaune, France","
                            2001                    ","
                            802","
                            19/20                    ",386
"Joseph Drouhin Musigny Grand Cru, Cote de Nuits, France","
                            2011                    ","
                            815","
                            19/20                    ",610
"Joseph Drouhin Musigny Grand Cru, Cote de Nuits, France","
                            2010                    ","
                            815","
                            19/20                    ","1,155"
"Joseph Drouhin Musigny Grand Cru, Cote de Nuits, France","
                            2009                    ","
                            815","
                            19/20                    ",936
