name,vintage,avg_price,producer,region/appellation,country,blend,pairing,style,alcohol
"Dominio de Pingus 'Pingus', Ribera del Duero, Spain",2003,"
€696
",Dominio de Pingus,Ribera del Duero,"
Spain
",Tempranillo,Lamb,Red - Rich and Intense,14 - 15%
"Dominio de Pingus 'Pingus', Ribera del Duero, Spain",2004,"
€1,356
",Dominio de Pingus,Ribera del Duero,"
Spain
",Tempranillo,Lamb,Red - Rich and Intense,14 - 15%
"Dominio de Pingus 'Pingus', Ribera del Duero, Spain",2012,"
€973
",Dominio de Pingus,Ribera del Duero,"
Spain
",Tempranillo,Lamb,Red - Rich and Intense,14 - 15%
"Casanova di Neri Tenuta Nuova, Brunello di Montalcino DOCG, Italy",2010,"
€208
",Casanova di Neri,Brunello di Montalcino,"
Italy
",Sangiovese,Beef and Venison,Red - Bold and Structured,14 - 15%
"Shafer Vineyards Hillside Select Cabernet Sauvignon, Stags Leap District, USA",2001,"
€487
",Shafer Vineyards,Stags Leap District,"
USA
",Cabernet Sauvignon,Beef and Venison,Red - Bold and Structured,14 - 16%
"Shafer Vineyards Hillside Select Cabernet Sauvignon, Stags Leap District, USA",2002,"
€464
",Shafer Vineyards,Stags Leap District,"
USA
",Cabernet Sauvignon,Beef and Venison,Red - Bold and Structured,14 - 16%
"Shafer Vineyards Hillside Select Cabernet Sauvignon, Stags Leap District, USA",2007,"
€403
",Shafer Vineyards,Stags Leap District,"
USA
",Cabernet Sauvignon,Beef and Venison,Red - Bold and Structured,14 - 16%
"Shafer Vineyards Hillside Select Cabernet Sauvignon, Stags Leap District, USA",2010,"
€403
",Shafer Vineyards,Stags Leap District,"
USA
",Cabernet Sauvignon,Beef and Venison,Red - Bold and Structured,14 - 16%
"Shafer Vineyards Hillside Select Cabernet Sauvignon, Stags Leap District, USA",2012,"
€304
",Shafer Vineyards,Stags Leap District,"
USA
",Cabernet Sauvignon,Beef and Venison,Red - Bold and Structured,14 - 16%
"Krug Clos du Mesnil Blanc de Blancs Brut, Champagne, France",1996,"
€1,642
",Krug,Champagne Blanc de Blancs,"
France
",Chardonnay,"Shellfish, Crab and Lobster",Sparkling - Complex and Traditional,12%
